SERIALNO,OCCP,AGEP,SEX,RAC1P,HISP,SCHL,STATE,PUMA,ESR,WAGP,COW,WKHP
2019GQ0007381,,19,1,2,1,18.0,21,2700,6.0,0.0,,
2019GQ0007519,,19,1,1,1,19.0,21,2600,6.0,0.0,,
2019GQ0007540,,52,1,1,1,14.0,21,600,6.0,0.0,,
2019GQ0007544,4540.0,20,1,1,1,19.0,21,1701,1.0,5000.0,4.0,20.0
2019GQ0007552,4110.0,20,1,1,1,18.0,21,2700,6.0,0.0,1.0,
2019GQ0007566,,76,2,1,1,14.0,21,1000,6.0,0.0,,
2019GQ0007588,2310.0,69,2,1,1,21.0,21,2600,1.0,10000.0,1.0,30.0
2019GQ0007681,5120.0,19,1,1,1,16.0,21,1701,1.0,7500.0,1.0,25.0
2019GQ0007703,6410.0,38,1,1,1,19.0,21,1200,6.0,0.0,6.0,40.0
2019GQ0007790,4055.0,17,1,1,1,12.0,21,600,6.0,300.0,1.0,24.0
2019GQ0007867,,57,2,2,1,16.0,21,1702,6.0,0.0,,
2019GQ0007979,,70,2,1,1,16.0,21,2300,6.0,0.0,,
2019GQ0007986,5240.0,54,1,1,1,22.0,21,400,6.0,0.0,1.0,
2019GQ0008162,4435.0,19,2,1,1,18.0,21,500,2.0,7700.0,1.0,25.0
2019GQ0008259,4700.0,18,2,1,1,16.0,21,2200,6.0,2400.0,1.0,16.0
2019GQ0008284,,34,2,1,1,18.0,21,2600,6.0,0.0,,
2019GQ0008467,8350.0,31,1,1,1,17.0,21,800,6.0,12000.0,5.0,50.0
2019GQ0008489,,31,1,1,1,17.0,21,1200,6.0,0.0,,
2019GQ0008528,9130.0,37,1,1,1,18.0,21,1400,6.0,230.0,1.0,30.0
2019GQ0008572,4055.0,18,2,1,1,18.0,21,600,3.0,4600.0,1.0,28.0
2019GQ0008636,,89,1,1,1,12.0,21,400,6.0,0.0,,
2019GQ0008660,,46,2,1,1,20.0,21,1600,6.0,0.0,,
2019GQ0008702,,94,2,1,1,18.0,21,1703,6.0,0.0,,
2019GQ0008759,,67,1,1,1,13.0,21,1800,6.0,0.0,,
2019GQ0008792,,49,1,1,1,11.0,21,1100,6.0,0.0,,
2019GQ0008815,,51,1,1,1,9.0,21,2000,6.0,0.0,,
2019GQ0008860,8465.0,38,1,1,1,13.0,21,1200,6.0,22400.0,1.0,55.0
2019GQ0008880,3603.0,19,2,1,1,19.0,21,2700,6.0,2800.0,1.0,40.0
2019GQ0008912,,50,2,1,1,16.0,21,1400,6.0,0.0,,
2019GQ0008944,4220.0,20,1,1,1,16.0,21,1901,1.0,70.0,1.0,10.0
2019GQ0009025,310.0,21,2,1,1,19.0,21,500,1.0,17000.0,1.0,35.0
2019GQ0009035,2002.0,19,1,1,1,19.0,21,100,1.0,5000.0,1.0,20.0
2019GQ0009307,,90,2,1,1,19.0,21,2600,6.0,0.0,,
2019GQ0009319,4010.0,18,2,1,1,16.0,21,2200,6.0,0.0,6.0,20.0
2019GQ0009321,4600.0,19,2,9,1,18.0,21,500,6.0,1900.0,1.0,30.0
2019GQ0009441,,94,2,1,1,16.0,21,1703,6.0,0.0,,
2019GQ0009456,9830.0,24,1,2,1,19.0,21,300,4.0,30000.0,5.0,40.0
2019GQ0009540,230.0,20,1,1,1,19.0,21,1901,1.0,20000.0,2.0,25.0
2019GQ0009661,,94,2,1,1,11.0,21,1702,6.0,0.0,,
2019GQ0009757,,77,1,1,1,13.0,21,1000,6.0,0.0,,
2019GQ0009860,,55,2,2,1,16.0,21,1701,6.0,0.0,,
2019GQ0009865,,20,1,1,3,19.0,21,2800,6.0,0.0,,
2019GQ0010079,,94,2,1,1,9.0,21,1200,6.0,0.0,,
2019GQ0010096,,66,1,1,1,19.0,21,200,6.0,0.0,,
2019GQ0010110,,94,2,1,1,11.0,21,2100,6.0,0.0,,
2019GQ0010224,6355.0,33,1,1,1,13.0,21,2800,6.0,50000.0,1.0,40.0
2019GQ0010236,,48,2,9,1,16.0,21,1705,6.0,0.0,,
2019GQ0010258,,33,1,1,1,17.0,21,1200,6.0,0.0,,
2019GQ0010282,9830.0,28,1,1,2,20.0,21,100,6.0,14000.0,5.0,10.0
2019GQ0010384,2014.0,21,2,1,1,19.0,21,2700,1.0,7000.0,4.0,10.0
2019GQ0010412,,45,1,2,1,17.0,21,2800,6.0,0.0,,
2019GQ0010433,,94,2,1,1,13.0,21,2200,6.0,0.0,,
2019GQ0010440,,32,1,2,1,19.0,21,200,6.0,0.0,,
2019GQ0010461,,87,2,1,1,14.0,21,100,6.0,0.0,,
2019GQ0010466,7750.0,39,1,1,1,14.0,21,1800,6.0,0.0,1.0,
2019GQ0010551,4720.0,22,1,1,1,14.0,21,2200,6.0,0.0,1.0,
2019GQ0010601,,66,1,1,1,16.0,21,100,6.0,0.0,,
2019GQ0010691,,28,1,1,1,17.0,21,1200,6.0,0.0,,
2019GQ0010734,4720.0,19,2,2,1,13.0,21,2700,6.0,6500.0,1.0,60.0
2019GQ0010745,3960.0,18,2,1,1,20.0,21,1901,6.0,5700.0,1.0,40.0
2019GQ0010755,4600.0,18,2,1,1,16.0,21,500,2.0,3400.0,1.0,22.0
2019GQ0010782,7905.0,57,1,1,1,19.0,21,2800,6.0,11100.0,1.0,65.0
2019GQ0010864,,69,1,1,1,19.0,21,1500,6.0,0.0,,
2019GQ0010884,,77,1,1,1,13.0,21,1100,6.0,0.0,,
