education_required,mean_annual_wage,percent_change,occupation,job_type
Doctoral or professional degree,79370.0,3.2787,251126,High-Wage
Doctoral or professional degree,68940.0,4.8951,251192,High-Wage
Doctoral or professional degree,69620.0,3.7736,251193,High-Wage
Doctoral or professional degree,78410.0,4.1052,251199,High-Wage
Bachelor's degree,57770.0,0.9607,252012,High-Wage
Bachelor's degree,57370.0,1.2451,252021,High-Wage
Bachelor's degree,58060.0,1.3635,252022,High-Wage
Bachelor's degree,61940.0,0.0,252023,High-Wage
Bachelor's degree,60460.0,1.5823,252031,High-Wage
Bachelor's degree,61600.0,0.7576,252032,High-Wage
Bachelor's degree,56690.0,0.3909,252052,High-Wage
Bachelor's degree,56290.0,0.3185,252057,High-Wage
Bachelor's degree,57990.0,0.8937,252058,High-Wage
Bachelor's degree,63430.0,2.029,252059,High-Wage
Bachelor's degree,31250.0,6.0606,253031,High-Demand
Bachelor's degree,54560.0,2.1739,253099,High-Wage
Master's degree,42880.0,11.4583,254011,High-Demand
Master's degree,50790.0,10.3659,254012,Both
Bachelor's degree,35850.0,12.2642,254013,High-Demand
Master's degree,61830.0,3.0778,254022,High-Wage
Master's degree,59050.0,-3.6635,259021,High-Wage
Master's degree,66350.0,2.561,259031,High-Wage
Bachelor's degree,51620.0,2.8888,259099,High-Wage
Not reported,53680.0,3.3641,270000,High-Wage
Bachelor's degree,77600.0,2.1818,271011,High-Wage
No formal educational credential,36510.0,6.4,271012,High-Demand
No formal educational credential,53510.0,6.8323,271019,Both
Bachelor's degree,72860.0,4.2017,271021,High-Wage
Bachelor's degree,52450.0,3.7373,271024,High-Wage
Bachelor's degree,67920.0,4.5627,271025,High-Wage
Bachelor's degree,44250.0,7.1429,271027,High-Demand
Bachelor's degree,56380.0,4.1916,271029,High-Wage
Bachelor's degree,60570.0,5.3107,272012,Both
No formal educational credential,44850.0,8.5,272021,High-Demand
Bachelor's degree,61190.0,8.5699,272022,Both
High school diploma or equivalent,53950.0,8.6207,272023,Both
High school diploma or equivalent,,11.0787,272091,High-Demand
No formal educational credential,,6.0721,272099,High-Demand
Bachelor's degree,50110.0,-11.0526,273023,High-Wage
Bachelor's degree,66840.0,6.8257,273031,Both
Bachelor's degree,64980.0,-12.9472,273041,High-Wage
Bachelor's degree,79160.0,8.1871,273042,Both
Bachelor's degree,60160.0,0.8785,273043,High-Wage
Bachelor's degree,54740.0,5.5143,273091,Both
Postsecondary nondegree award,47260.0,17.037,273092,High-Demand
Postsecondary nondegree award,42340.0,7.907,274011,High-Demand
Associate degree,60020.0,-8.7464,274012,High-Wage
Postsecondary nondegree award,30730.0,5.5556,274015,High-Demand
Bachelor's degree,48090.0,5.2941,274031,High-Demand
Bachelor's degree,42450.0,12.6935,274032,High-Demand
High school diploma or equivalent,56440.0,0.0,274099,High-Wage
Not reported,88540.0,9.0857,290000,Both
Doctoral or professional degree,82040.0,8.3455,291011,Both
Doctoral or professional degree,186480.0,4.3626,291021,High-Wage
Doctoral or professional degree,281040.0,3.937,291022,High-Wage
Doctoral or professional degree,,5.1724,291023,High-Demand
Doctoral or professional degree,168460.0,3.9216,291029,High-Wage
Bachelor's degree,64550.0,8.6601,291031,Both
Doctoral or professional degree,161300.0,9.2275,291041,Both
Doctoral or professional degree,131020.0,4.2683,291051,High-Wage
Master's degree,99290.0,26.5139,291071,Both
Doctoral or professional degree,175770.0,1.5873,291081,High-Wage
Master's degree,86860.0,14.0343,291122,Both
Doctoral or professional degree,87480.0,16.468,291123,Both
Associate degree,95720.0,4.0541,291124,High-Wage
Associate degree,65330.0,14.1414,291126,Both
Master's degree,83310.0,20.4369,291127,Both
Bachelor's degree,50000.0,10.3448,291128,Both
Doctoral or professional degree,104380.0,19.122,291131,Both
Bachelor's degree,81770.0,6.5652,291141,Both
Master's degree,185630.0,12.6582,291151,Both
Master's degree,110370.0,45.2643,291171,Both
Doctoral or professional degree,76370.0,12.1795,291181,Both
Doctoral or professional degree,292390.0,2.1798,291211,High-Wage
Doctoral or professional degree,277370.0,2.5926,291214,High-Wage
Doctoral or professional degree,282140.0,3.7692,291215,High-Wage
Doctoral or professional degree,283180.0,2.9126,291216,High-Wage
Doctoral or professional degree,331120.0,1.8092,291218,High-Wage
Doctoral or professional degree,227730.0,0.2451,291221,High-Wage
Doctoral or professional degree,220150.0,7.8125,291223,Both
Doctoral or professional degree,316730.0,2.4103,291229,High-Wage
Doctoral or professional degree,181610.0,0.0,291241,High-Wage
Associate degree,73850.0,7.3063,291292,Both
Master's degree,90660.0,-1.7094,291299,High-Wage
Bachelor's degree,56820.0,5.4304,292010,Both
Associate degree,58680.0,4.0225,292031,High-Wage
Associate degree,74610.0,14.6934,292032,Both
Associate degree,86170.0,0.0,292033,High-Wage
Associate degree,63520.0,4.2805,292034,High-Wage
Associate degree,75940.0,7.1588,292035,Both
Bachelor's degree,86280.0,0.0,292036,High-Wage
